                  App |       compile_subroutines
                  App |       get_all_subroutines
                  App |              get_lib_subs
                  App |             intersect_api
         App::Dbg::ST |                 Namespace
         App::Dbg::ST |      getListofSubroutines
         App::Dbg::ST |               getSubNames
         App::Dbg::ST |        getSymbolTableHash
         App::Dbg::ST |        get_FullModulePath
         App::Dbg::ST |             get_Namespace
         App::Dbg::ST |           get_Subroutines
         App::Dbg::ST |               get_Symbols
         App::Dbg::ST |               get_Version
         App::Dbg::ST |             get_globtypes
         App::Dbg::ST |          get_typeglobslot
         App::Dbg::ST |         globslot_is_array
         App::Dbg::ST |          globslot_is_code
         App::Dbg::ST |          globslot_is_glob
         App::Dbg::ST |          globslot_is_hash
         App::Dbg::ST |        globslot_is_scalar
         App::Dbg::ST |            list_Namespace
         App::Dbg::ST |                   padding
         App::Modules |           display_Symbols
         App::Modules |      get_ModuleSearchpath
         App::Modules |         get_ModuleVersion
         App::Modules |      get_ModulesInstalled
         App::Modules |              get_Packages
         App::Modules |           get_SymbolTable
         App::Modules |                   get_all
         App::Modules |             get_namespace
         App::Modules |           get_packagename
         App::Modules |        get_symboltableRef
         App::Modules |      list_SymbolTableSlot
         App::Modules |   list_unifiedSymbolTable
         App::Modules |         unify_symboltable
     App::Performance |             calc_run_time
     App::Performance |               elapsedtime
     App::Performance |          evaluate_success
     App::Performance |              gettimeofday
     App::Performance |                      line
     App::Performance |                   message
     App::Performance |                  run_time
     App::Performance |                   runtime
     App::Performance |   sample_timingresolution
     App::Performance |             set_postamble
     App::Performance |                 starttime
     App::Performance |                  stoptime
     App::Performance |                whitespace
          Create::API |                GetOptions
          Create::API |               check_cline
          Create::API |               prune_cline
          Create::App |      checking_environment
          Create::App |              create_guard
          Create::App |                 elaborate
          Create::App |                       get
          Create::App |                   get_api
          Create::App |                get_config
          Create::App |               get_options
          Create::App |                  get_subs
          Create::App |                   inspect
          Create::App |               inspect_api
          Create::App |                       new
          Create::App |           prepare_cloning
          Create::App |                 terminate
          Create::App |                    update
                   DS |                  Readonly
                   DS |            _iterate_array
                   DS |             _iterate_hash
                   DS |             _peeking_glob
                   DS |            _printf_scalar
                   DS |             _unknown_warn
                   DS |                  list_ref
            DS::Array |                  aligning
            DS::Array |                    append
            DS::Array |                clone_aref
            DS::Array |               columnwidth
            DS::Array |         installed_modules
            DS::Array |                 intersect
            DS::Array |                list_array
            DS::Array |                list_table
            DS::Array |                   prepend
            DS::Array |                print_line
            DS::Array |                 transpose
            DS::Array |             unpack_string
             DS::Hash |             SizeOfHashRef
             DS::Hash |                array2hash
             DS::Hash |            determineWidth
             DS::Hash |                 list_hash
             DS::Hash |       list_module_version
             DS::Hash |              list_modules
             DS::Hash |                   max_key
             DS::Hash |                 max_value
             DS::Hash | modulename_from_namespace
             DS::Hash |              namespace_of
             DS::Hash |                prune_hash
           DS::String |                capitalize
           DS::String |                     debug
           DS::String |                 lowercase
           DS::String |                   size_of
           DS::String |              sizeofstring
           DS::String |                subroutine
           DS::String |                 uppercase
                  Dbg |              DebugControl
                  Dbg |             DebugFeatures
                  Dbg |               ListModules
        File::IO::Log |          activity_message
        File::IO::Log |                  filename
        File::IO::Log |              log2_hashref
        File::IO::Log |              log_activity
        File::IO::Log |              log_arrayref
        File::IO::Log |               log_hashref
        File::IO::Log |                    unique
       File::IO::UTF8 |               append_utf8
       File::IO::UTF8 |                 read_utf8
       File::IO::UTF8 |           read_utf8_slurp
       File::IO::UTF8 |          read_utf8_string
       File::IO::UTF8 |                write_utf8
             Terminal |                     BLINK
             Terminal |                      BLUE
             Terminal |                      BOLD
             Terminal |                     GREEN
             Terminal |                   MAGENTA
             Terminal |                       RED
             Terminal |                     RESET
             Terminal |                    YELLOW
             Terminal |                    import
             Terminal |                  maxwidth
             Terminal |                on_defined
             Terminal |                 on_exists
             Terminal |                        qv
             Terminal |                   t_blank
             Terminal |                  t_custom
             Terminal |                    t_exit
             Terminal |         t_function_header
             Terminal |                    t_help
             Terminal |                    t_info
             Terminal |                    t_list
             Terminal |                    t_note
             Terminal |                    t_okay
             Terminal |                   t_usage
             Terminal |                    t_warn
                 main |                 bulldozer
                 main |                clone_file
                 main |        create_environment
                 main |              create_files
                 main |           debug_debugging
                 main |             iterate_files
